event_name,timestamp,session_num,trial_in_session,global_trial_id,t_ard,dx,dy,dz,stim_state,details
trial_start,150.362396,2,1,44,,,,,,"{""trial_index"": 0, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,157.707825,2,1,44,,,,,,"{""initial_angle"": 2.000004467598936, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,156.108750,2,1,44,,,,,,"{""elapsed"": 5.744895599998927, ""t_collision"": 5.7289961630759425}"
looming_completed,157.142126,2,1,44,,,,,,"{""elapsed"": 6.7782723999989685, ""t_collision"": 5.7289961630759425}"
iti_start,157.159124,2,1,44,,,,,,"{""duration"": 1.354956589241124}"
trial_start,158.525328,2,2,45,,,,,,"{""trial_index"": 1, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,165.891757,2,2,45,,,,,,"{""initial_angle"": 2.0000047817282427, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,164.275268,2,2,45,,,,,,"{""elapsed"": 5.748939099999916, ""t_collision"": 5.7289961630759425}"
looming_completed,165.275239,2,2,45,,,,,,"{""elapsed"": 6.748909899999489, ""t_collision"": 5.7289961630759425}"
iti_start,165.309393,2,2,45,,,,,,"{""duration"": 1.163287862016203}"
trial_start,166.475406,2,3,46,,,,,,"{""trial_index"": 2, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,173.857342,2,3,46,,,,,,"{""initial_angle"": 2.0000059335346414, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,172.225532,2,3,46,,,,,,"{""elapsed"": 5.748128499999439, ""t_collision"": 5.7289961630759425}"
looming_completed,173.242336,2,3,46,,,,,,"{""elapsed"": 6.764933200000087, ""t_collision"": 5.7289961630759425}"
iti_start,173.275430,2,3,46,,,,,,"{""duration"": 1.5614858831844243}"
trial_start,174.842262,2,4,47,,,,,,"{""trial_index"": 3, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,182.190839,2,4,47,,,,,,"{""initial_angle"": 2.0000050260506823, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,180.608527,2,4,47,,,,,,"{""elapsed"": 5.764704000001075, ""t_collision"": 5.7289961630759425}"
looming_completed,181.592797,2,4,47,,,,,,"{""elapsed"": 6.748974400001316, ""t_collision"": 5.7289961630759425}"
iti_start,181.626476,2,4,47,,,,,,"{""duration"": 1.1329831983578702}"
trial_start,182.776990,2,5,48,,,,,,"{""trial_index"": 4, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,190.123777,2,5,48,,,,,,"{""initial_angle"": 2.0000053052760376, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,188.508561,2,5,48,,,,,,"{""elapsed"": 5.729897600000186, ""t_collision"": 5.7289961630759425}"
looming_completed,189.542327,2,5,48,,,,,,"{""elapsed"": 6.763663300000189, ""t_collision"": 5.7289961630759425}"
iti_start,189.609472,2,5,48,,,,,,"{""duration"": 1.5959703878257152}"
trial_start,191.225267,2,6,49,,,,,,"{""trial_index"": 5, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,198.607670,2,6,49,,,,,,"{""initial_angle"": 2.000025514448284, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,196.993966,2,6,49,,,,,,"{""elapsed"": 5.7626526999993075, ""t_collision"": 5.7289961630759425}"
looming_completed,197.974744,2,6,49,,,,,,"{""elapsed"": 6.7434314000001905, ""t_collision"": 5.7289961630759425}"
iti_start,198.010711,2,6,49,,,,,,"{""duration"": 1.8929539070322214}"
trial_start,199.911668,2,7,50,,,,,,"{""trial_index"": 6, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,207.292570,2,7,50,,,,,,"{""initial_angle"": 2.000022058965414, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,205.658906,2,7,50,,,,,,"{""elapsed"": 5.739461000001029, ""t_collision"": 5.7289961630759425}"
looming_completed,206.692868,2,7,50,,,,,,"{""elapsed"": 6.773422900001606, ""t_collision"": 5.7289961630759425}"
iti_start,206.744119,2,7,50,,,,,,"{""duration"": 1.328260440862894}"
trial_start,208.096276,2,8,51,,,,,,"{""trial_index"": 7, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""right""}"
first_frame,215.475953,2,8,51,,,,,,"{""initial_angle"": 2.000072426431849, ""active_screen"": ""right"", ""sync_patch_drawn"": true}"
collision_reached,213.858386,2,8,51,,,,,,"{""elapsed"": 5.7570326999993995, ""t_collision"": 5.7289961630759425}"
looming_completed,214.862041,2,8,51,,,,,,"{""elapsed"": 6.7606880000003, ""t_collision"": 5.7289961630759425}"
iti_start,214.891981,2,8,51,,,,,,"{""duration"": 1.1008898238144016}"
trial_start,216.013339,2,9,52,,,,,,"{""trial_index"": 8, ""target_ttc_ms"": null, ""pattern"": ""Baseline Visual (仅视觉，无风)"", ""type"": ""baseline_visual"", ""lv_ratio_ms"": 100, ""wind_dir"": ""none"", ""screen_side"": ""left""}"
first_frame,223.406654,2,9,52,,,,,,"{""initial_angle"": 2.0000367186732113, ""active_screen"": ""left"", ""sync_patch_drawn"": true}"
collision_reached,221.761627,2,9,52,,,,,,"{""elapsed"": 5.7424287000012555, ""t_collision"": 5.7289961630759425}"
looming_completed,222.774671,2,9,52,,,,,,"{""elapsed"": 6.755472000000736, ""t_collision"": 5.7289961630759425}"
iti_start,222.808817,2,9,52,,,,,,"{""duration"": 1.2381939647086475}"
